date,msft,brk-b,z-spark,x-qoz,z-fnz,temp
05 03 2014,37.5,26.25,53.75,50,55,19.8
06 03 2014,12.5,15,18.75,25,32.5,24.3
07 03 2014,26.25,22.5,37.5,31.25,40,28.4
08 03 2014,11.25,10,8.75,10,17.5,27.4
09 03 2014,60,41.25,47.5,27.5,60,29.9
10 03 2014,77.5,65,83.75,63.75,97.5,28.9
11 03 2014,65,42.5,68.75,57.5,75,25.1
12 03 2014,61.25,33.75,50,53.75,80,26.4
13 03 2014,13.75,10,11.25,7.5,15,23.7
14 03 2014,35,33.75,37.5,33.75,57.5,23.3
15 03 2014,62.5,33.75,67.5,57.5,70,22.8
16 03 2014,62.5,41.25,66.25,60,67.5,31.8
17 03 2014,27.5,18.75,33.75,32.5,37.5,24.9
18 03 2014,46.25,36.25,48.75,42.5,62.5,22.1
19 03 2014,62.5,45,72.5,63.75,85,32.4
20 03 2014,55,41.25,68.75,56.25,87.5,21.7
21 03 2014,38.75,35,50,41.25,65,23.7
22 03 2014,41.25,27.5,51.25,46.25,52.5,34.8
23 03 2014,37.5,28.75,50,41.25,45,28.3
24 03 2014,43.75,31.25,55,48.75,55,33.4
25 03 2014,22.5,22.5,27.5,23.75,32.5,23.0
26 03 2014,82.5,51.25,92.5,82.5,92.5,22.5
27 03 2014,40,30,43.75,43.75,55,35.9
28 03 2014,25,30,33.75,35,42.5,29.8
29 03 2014,37.5,33.75,41.25,40,42.5,31.2
30 03 2014,41.25,31.25,42.5,40,62.5,30.8
31 03 2014,45,30,47.5,41.25,57.5,31.6
01 04 2014,25,11.25,11.25,20,30,23.3
02 04 2014,58.75,46.25,66.25,60,80,24.8
03 04 2014,57.5,56.25,73.75,63.75,80,24.9
04 04 2014,61.25,48.75,67.5,67.5,80,31.0
05 04 2014,37.5,26.25,37.5,42.5,50,33.1
06 04 2014,23.75,21.25,22.5,21.25,32.5,29.3
07 04 2014,53.75,43.75,60,51.25,65,36.8
08 04 2014,70,48.75,76.25,80,90,24.3
09 04 2014,41.25,33.75,47.5,43.75,50,39.3
10 04 2014,47.5,40,56.25,52.5,60,34.0
11 04 2014,42.5,30,57.5,56.25,57.5,24.6
12 04 2014,26.25,28.75,37.5,32.5,40,26.2
13 04 2014,67.5,47.5,72.5,67.5,77.5,33.9
14 04 2014,81.25,50,85,78.75,85,40.3
15 04 2014,23.75,27.5,22.5,18.75,32.5,27.3
16 04 2014,31.25,27.5,26.25,31.25,42.5,38.7
17 04 2014,42.5,47.5,47.5,46.25,62.5,39.6
